Id;Label;EntityType;RiskScore;Date
1;"Government institutions of Ukraine";"Sector";7.5;2021-01-21
2;"Адміністрація Держспецзв’язку";"Government Body";5.0;2021-01-21
3;"dsszzi.gov.ua";"Domain";5.0;2021-01-21
4;"VimpelCom";"Organization";5.0;2021-01-21
5;"Russia";"Country";5.0;2019-12-06
6;"Remote Utilities";"Software";8.0;2021-01-21
7;"Електронний запит.exe";"Software";8.0;2021-01-21
8;"installer.exe";"Software";8.0;2021-01-21
9;"host_news_mod_mod.msi";"Software";8.0;2021-01-21
10;"killself.bat";"Software";8.0;2021-01-21
11;"Armageddon";"HackerGroup";9.0;2021-03-03
12;"Pterodo";"Software";8.0;2018-09-03
13;"CVE-2017-0199";"Software";8.0;2019-06-20
14;"melitaeas.online";"Domain";8.0;2021-03-03
15;"melitaes.online";"Domain";8.0;2021-03-03
16;"tridiuma.ru";"Domain";8.0;2021-03-03
17;"barbatus.online";"Domain";8.0;2021-03-03
18;"emterox.ru";"Domain";8.0;2021-03-03
19;"acteran.ru";"Domain";8.0;2021-03-03
20;"omyce.ru";"Domain";8.0;2021-03-03
21;"circulas.ru";"Domain";8.0;2021-03-03
22;"ryomy.ru";"Domain";8.0;2021-03-03
23;"erwini.ru";"Domain";8.0;2021-03-03
24;"candidar.ru";"Domain";8.0;2021-03-03
25;"mulleti.ru";"Domain";8.0;2021-03-03
26;"sardanal.online";"Domain";8.0;2021-03-03
27;"scorpiones.online";"Domain";8.0;2021-03-03
28;"graphiuma.online";"Domain";8.0;2021-03-03
29;"myftp.biz";"Domain";8.0;2021-03-03
30;"apoxipodes.ru";"Domain";8.0;2021-03-03
31;"dipteran.online";"Domain";8.0;2021-03-03
32;"Ukraine";"Country";8.0;2018-02-15
33;"Government bodies of Ukraine";"Sector";7.5;2019-01-29
34;"Microsoft";"Organization";5.0;2018-05-11
35;"CVE-2021-26855";"Software";6.0;2021-03-17
36;"CVE-2021-26857";"Software";6.0;2021-03-17
37;"CVE-2021-26858";"Software";6.0;2021-03-17
38;"CVE-2021-27065";"Software";6.0;2021-03-17
39;"Microsoft Exchange Server";"Software";6.0;2018-05-11
40;"Exchange On-premises Mitigation Tool";"Software";5.0;2021-03-17
41;"Test-ProxyLogon.ps1";"Software";5.0;2021-03-17
42;"http-vuln-cve2021-26855.nse";"Software";5.0;2021-03-17
43;"Nmap";"Software";5.0;2021-03-17
44;"Microsoft Safety Scanner";"Software";5.0;2021-03-17
45;"PowerShell";"Software";5.0;2018-12-13
46;"IIS";"Software";5.0;2021-03-17
47;"Burp Suite";"Software";5.0;2021-03-17
48;"Requests";"Software";5.0;2021-03-17
49;"curl";"Software";5.0;2018-02-22
50;"Zenmap";"Software";5.0;2021-03-17
51;"Державний центр кіберзахисту Держспецзв’язку";"Government Body";5.0;2019-09-12
52;"Ukrainian organizations";"Sector";7.5;2021-03-17
53;"Cybersecurity and Infrastructure Security Agency (CISA)";"Government Body";5.0;2020-01-15
54;"HAFNIUM";"HackerGroup";9.0;2021-03-17
55;"proxylogon.com";"Domain";5.0;2021-03-17
56;"Кіберцентр UA30";"Organization";5.0;2021-05-13
57;"Володимир Зеленський";"Individual";5.0;2021-05-13
