Id;Label;EntityType;RiskScore
1;Україна;Country;8.0
2;CERT-UA;Organization;8.0
3;National Cyber Security Center;Organization;8.0
4;UA30;Organization;6.0
5;FIRST;Organization;6.0
6;Володимир Зеленський;Individual;5.0
7;Михайло Федоров;Individual;5.0
8;Юрій Щиголь;Individual;5.0
9;gov.ua;Domain;7.0
10;Ukraine President;Target;8.0
11;Ukraine Presidential Administration;Target;8.0
12;OUTSTEEL;Tool;7.0
13;LOADJUMP;Tool;7.0
14;0707a;Tool;7.0
15;differencecell;Tool;7.0
16;Ukraine;Country;8.0
17;Ukrainian Presidential Administration;Organization;8.0
18;gov-ua.info;Domain;8.0
19;1833.site;Domain;8.0
20;giraffe-tour.ru;Domain;8.0
21;State Information Resources;Target;8.0
22;Government IT Systems;Target;8.0
23;State and Private Institutions;Target;8.0
24;Telecommunications Operators;Target;8.0
25;facebook.com;Domain;4.0
26;Ukrainian Government Institutions;Target;8.0
27;Local Self-Government Bodies;Target;8.0
28;state and private institutions;Target;8.0
29;Organizations and Enterprises;Target;8.0
30;telecom operators;Target;8.0
31;Ministry of Social Policy;Target;8.0
32;Facebook;Tool;7.0
33;Ministry of Social Policy;Organization;8.0
34;United Nations;Organization;6.0
35;European Union;Organization;6.0
36;Red Cross Society;Organization;6.0
37;National Bank of Ukraine;Organization;8.0
38;Platform єДопомога;Organization;8.0
39;chis-gos.top;Domain;8.0
40;compensationukr.com;Domain;8.0
41;ec-compensation.xyz;Domain;8.0
42;yolasite.com;Domain;8.0
43;erinekenney.com;Domain;8.0
44;fanlnk.to;Domain;8.0
45;hardingtwominuterule.com;Domain;8.0
46;webflow.io;Domain;8.0
47;ukr-compens.xyz;Domain;8.0
48;mygraphbook.com;Domain;8.0
49;myua-compensations.xyz;Domain;8.0
50;pro-gos.top;Domain;8.0
51;tax-compensation.xyz;Domain;8.0
52;tax-compenses.xyz;Domain;8.0
53;uabayrakua.com;Domain;8.0
54;ua-compens.top;Domain;8.0
55;ua-compensation.top;Domain;8.0
56;ua-compensations.xyz;Domain;8.0
57;ua-compenses.top;Domain;8.0
58;uam-compensation.xyz;Domain;8.0
59;uatax-compens.xyz;Domain;8.0
60;uatax-compenses.xyz;Domain;8.0
61;ua-taxes-compens.xyz;Domain;8.0
62;ucraft.site;Domain;8.0
63;ukrainebayra.com;Domain;8.0
64;PowerShell;Tool;7.0
65;Agent Tesla;Tool;7.0
66;Austria;Country;8.0
67;Germany;Country;8.0
68;Brazil;Country;10.0
69;t-online.de;Organization;8.0
70;ukr.net;Organization;8.0
71;westafrance.com;Organization;8.0
72;aon.at;Organization;8.0
73;ssttekstil.com;Organization;9.0
74;academiadutygroup.com.br;Organization;9.0
75;sackmeister.de;Organization;9.0
76;eric.fehling;Individual;7.5
77;bondar_mob;Individual;7.5
78;bonitet_ltd;Individual;7.5
79;adv.rsnord;Individual;7.5
80;a.bindhammer;Individual;7.5
81;a.ehrnhofer;Individual;7.5
82;a.bernsteiner;Individual;7.5
83;t-online.de;Domain;7.0
84;ukr.net;Domain;7.0
85;westafrance.com;Domain;7.0
86;aon.at;Domain;7.0
87;ssttekstil.com;Domain;8.0
88;academiadutygroup.com.br;Domain;8.0
89;sackmeister.de;Domain;8.0
90;Microsoft Exchange Server;Tool;7.0
91;Fortinet;Tool;7.0
92;Apache Log4j;Tool;7.0
93;shodan.io;Tool;7.0
94;Mikrotik;Tool;7.0
95;Proxmox;Tool;7.0
96;ISPManager;Tool;7.0
97;DirectAdmin;Tool;7.0
98;Webmin;Tool;7.0
99;PhpMyAdmin;Tool;7.0
100;АСКОД;Tool;7.0
101;CISA;Organization;6.0
102;Microsoft;Organization;6.0
103;Fortinet;Organization;6.0
104;Apache;Organization;6.0
105;Shodan;Organization;6.0
106;shodan.io;Domain;4.0
107;cisa.gov;Domain;4.0
108;Windows Server 2019;Target;8.0
109;Windows 10 1809;Target;8.0
110;http.sys;Tool;7.0
111;IIS;Tool;7.0
112;Windows Server;Tool;7.0
113;Windows 10;Tool;7.0
114;microsoft.com;Domain;4.0
115;mitre.org;Domain;4.0
116;Microsoft Windows Server 2019;Target;8.0
117;Microsoft Windows 10 version 1809;Target;8.0
118;Internet Information Services (IIS);Target;8.0
119;Government Organizations;Target;8.0
120;BootPatch;Tool;7.0
121;WhisperKill;Tool;7.0
122;WhisperGate;Tool;7.0
123;WhisperPack;Tool;7.0
124;AdvancedRun;Tool;7.0
125;Impacket;Tool;7.0
126;Eazfuscator;Tool;7.0
127;NirSoft;Organization;6.0
128;discorapp.com;Domain;8.0
129;Encrpt3d;Hacker Group;9.0
130;SSO ZS Ukraine;Target;8.0
131;WhiteBlackCrypt;Tool;7.0
132;Encrpt3d Ransomware;Tool;7.0
133;Росія;Country;10.0
134;SSO ZS Ukraine;Organization;8.0
135;FSB;Organization;9.0
136;WEX;Organization;6.0
137;Костянтин Малофєєв;Individual;7.5
138;gmail.com;Domain;4.0
139;Ministry of Foreign Affairs of Ukraine;Target;8.0
140;Ministry of Education and Science of Ukraine;Target;8.0
141;October CMS;Tool;7.0
142;Ministry of Foreign Affairs of Ukraine;Organization;8.0
143;Ministry of Education and Science of Ukraine;Organization;8.0
144;cvedetails.com;Domain;4.0
145;github.com;Domain;4.0
146;Adobe Flash Player;Target;8.0
147;Adobe Framemaker;Target;8.0
148;Adobe Acrobat Reader;Target;8.0
149;Adobe Reader DC;Target;8.0
150;Adobe Digital Editions;Target;8.0
151;Adobe Experience Manager;Target;8.0
152;Adobe;Organization;8.0
153;adobe.com;Domain;7.0
154;Armageddon;Hacker Group;9.0
155;Ukrainian State Special Communications Service;Target;8.0
156;HTML;Tool;7.0
157;JavaScript;Tool;7.0
158;RAR;Tool;7.0
159;HTA;Tool;7.0
160;VBScript;Tool;7.0
161;mshta;Tool;7.0
162;cloudflare-dns.com;Domain;4.0
163;info-cip.org;Domain;8.0
164;ua-cip.org;Domain;8.0
165;civh.ru;Domain;8.0
166;hilr.ru;Domain;8.0
167;rubidiumo.ru;Domain;8.0
168;shapurt.ru;Domain;8.0
169;ardeas.ru;Domain;8.0
170;APT group;Hacker Group;9.0
171;Users;Target;8.0
172;government institutions;Target;8.0
173;Critical Infrastructure;Target;8.0
174;CoronaMap;Tool;7.0
